time,x,y,velocity,cross_track_error,desired_steer,desired_vel,curvature
0.203,0.49,-2.30,8.00,1.842,0.0312,52.65,0.000722
0.420,2.03,-8.61,17.99,1.920,-0.0184,48.82,0.000917
0.637,4.30,-19.87,27.99,0.371,-0.0117,29.02,0.001396
0.859,6.36,-33.38,25.30,1.683,-0.0094,25.00,0.002113
1.096,7.79,-45.82,25.00,0.863,-0.0081,25.00,0.002338
1.331,8.87,-58.27,25.00,1.638,-0.0076,25.00,0.002253
1.574,9.61,-70.75,25.00,0.858,-0.0076,25.00,0.002202
1.809,10.02,-83.23,25.00,1.639,-0.0074,25.00,0.002108
2.045,10.11,-95.73,25.00,0.864,-0.0071,25.00,0.002023
2.288,9.89,-108.22,25.00,1.628,-0.0069,25.00,0.001775
2.539,9.36,-120.70,25.00,0.873,-0.0060,25.00,0.001849
2.792,8.57,-133.17,25.00,1.630,-0.0046,25.00,0.001240
3.046,7.57,-145.63,25.00,0.866,-0.0038,25.00,0.001086
3.294,6.40,-158.07,25.00,1.638,-0.0029,25.00,0.000846
3.560,5.09,-170.49,25.00,0.857,-0.0021,25.00,0.000656
3.815,3.70,-182.91,25.00,1.648,0.0023,25.00,0.000274
4.081,2.35,-195.33,25.00,0.856,0.0091,25.00,0.002037
4.348,1.34,-207.79,25.00,1.621,0.0130,25.00,0.002739
4.609,0.86,-220.27,25.00,0.915,0.0201,25.00,0.004541
4.884,1.25,-232.75,25.00,1.493,0.0527,25.00,0.012132
5.178,3.55,-245.01,25.00,1.398,0.0799,25.00,0.021569
5.464,8.99,-256.20,25.00,2.659,0.0876,25.00,0.023259
5.741,17.57,-265.23,25.00,0.031,0.0579,25.00,0.016135
6.041,28.03,-272.03,25.00,2.537,0.0154,25.00,0.004997
6.330,38.97,-278.09,25.00,0.800,-0.0477,25.00,0.009544
6.625,49.07,-285.40,25.00,2.319,-0.0869,25.00,0.023261
6.913,56.78,-295.15,25.00,1.338,-0.1240,25.00,0.027298
7.210,60.18,-307.06,25.00,2.083,-0.1381,25.00,0.046243
7.516,57.79,-319.21,25.00,1.987,-0.1304,25.00,0.033487
7.836,50.25,-329.05,25.00,0.526,-0.1082,25.00,0.036868
8.157,39.51,-335.32,25.00,1.249,-0.0830,25.00,0.015615
8.481,27.38,-338.17,25.00,1.760,-0.0492,25.00,0.015398
8.795,14.90,-338.52,25.00,0.968,-0.0391,25.00,0.012039
